OBJECT_ID,Time,Latitude,Longitude,Speed,Course
1,0,2554.836849,-4211.747793,28.654422,3.392920066
2,0,2554.513239,-4212.089725,27.04333,3.366740127
3,0.000278,2554.016232,-4201.647447,30.265514,3.296926957
4,0.000556,2554.498404,-4212.104627,27.158408,3.328342884
5,0.000556,2546.558712,-4208.527306,0.230156,0.459021593
6,0.000556,2551.678995,-4207.097713,16.801388,5.026548246
7,0.000833,2553.999879,-4201.663422,30.035358,3.31438025
8,0.001111,2554.79055,-4211.796594,28.654422,3.378957432
9,0.001111,2555.852874,-4200.070886,29.92028,2.548180708
10,0.001389,2554.4835,-4212.119253,27.273486,3.31438025
11,0.001389,2553.983457,-4201.679343,30.150436,3.284709652
12,0.001389,2555.84625,-4200.071393,29.690124,2.530727415
13,0.001389,2553.190164,-4211.90783,6.214212,5.520476424
14,0.001667,2554.468527,-4212.133935,27.388564,3.316125579
15,0.001667,2549.554347,-4209.226122,1.611092,5.747369227
16,0.001944,2553.966759,-4201.694932,30.150436,3.262020372
17,0.001944,2547.708804,-4212.530209,5.984056,0.083775804
18,0.002222,2554.453485,-4212.148892,27.388564,3.328342884
19,0.002222,2551.686999,-4207.11738,16.801388,5.019566929
20,0.0025,2554.7595,-4211.828448,28.7695,3.330088213
21,0.0025,2553.95013,-4201.710632,29.92028,3.281218994
22,0.002778,2554.7595,-4211.828448,28.7695,3.330088213
23,0.002778,2555.819892,-4200.072539,29.92028,2.457423587
24,0.003056,2554.43865,-4212.163739,27.388564,3.335324201
25,0.003056,2553.933639,-4201.726552,29.690124,3.296926957
26,0.003056,2546.559195,-4208.527085,0.115078,1.98443936
27,0.003333,2555.800779,-4200.071685,30.150436,2.438224965
28,0.003611,2554.727622,-4211.859972,28.884578,3.317870908
29,0.003611,2553.917355,-4201.742527,29.92028,3.321361567
30,0.003611,2551.692795,-4207.135114,16.68631,5.01607627
31,0.003889,2554.409049,-4212.193985,27.503642,3.354522822
32,0.004167,2553.90114,-4201.758724,29.690124,3.349286835
33,0.004167,2553.203205,-4211.912274,5.984056,5.471607205
34,0.004167,2549.557935,-4209.225736,1.72617,5.705481325
35,0.004444,2554.696365,-4211.891716,28.654422,3.380702761
36,0.004444,2549.557935,-4209.225736,1.72617,5.705481325
37,0.004722,2554.696365,-4211.891716,28.654422,3.380702761
38,0.004722,2554.394214,-4212.209108,27.388564,3.342305518
39,0.004722,2553.884787,-4201.774865,29.690124,3.321361567
40,0.005,2555.761242,-4200.072354,30.49567,2.534218074
41,0.005278,2553.868227,-4201.791006,29.690124,3.293436299
42,0.005556,2554.665384,-4211.924231,28.424266,3.377212103
43,0.005556,2554.363854,-4212.238582,27.503642,3.279473664
44,0.005556,2551.703559,-4207.156327,16.68631,5.026548246
45,0.005833,2553.851667,-4201.806594,29.92028,3.270747018
46,0.006111,2554.650135,-4211.940074,28.539344,3.35975881
47,0.006111,2554.348812,-4212.25249,27.388564,3.269001689
48,0.006111,2555.733159,-4200.076869,29.92028,2.579596634
49,0.006389,2554.348812,-4212.25249,27.388564,3.269001689
50,0.006389,2553.835245,-4201.822128,29.92028,3.282964323
51,0.006667,2554.650135,-4211.940074,28.539344,3.35975881
52,0.006667,2554.333632,-4212.266344,27.503642,3.253293726
53,0.006944,2553.818685,-4201.837772,30.035358,3.279473664
54,0.006944,2551.709079,-4207.171685,16.801388,5.028293575
55,0.007222,2554.63461,-4211.955862,28.654422,3.354522822
56,0.007222,2554.318452,-4212.280142,27.273486,3.241076421
57,0.007222,2551.709079,-4207.171685,16.801388,5.028293575
58,0.007222,2555.70411,-4200.083097,30.265514,2.617993878
59,0.007222,2553.217902,-4211.914947,5.984056,5.48382451
60,0.007222,2549.561454,-4209.225958,1.72617,5.637413484
61,0.0075,2553.802125,-4201.853471,30.265514,3.277728335
